"Chinoise, La",Winifield Paule,99,238.74,2009,7
Man on Fire,Antonia Strasse,39,147.46,2017,6
In Secret,Lisette Tretter,115,70.67,1988,10
Chicago,Priscilla Darling,174,82.9,1981,8
Punishment Park,Shamus Whitehall,91,166.9,2005,2
Hallam Foe (Mister Foe),Georgina Barensky,75,32.56,2020,6
That Day (Ce jour-là),Addison Waghorn,82,235.04,1971,6
Chastity Bites,Hi Rheubottom,195,191.56,2003,4
Point of No Return,Caresa Tilbey,121,240.19,1992,6
Night on Earth,Chastity Massingberd,127,65.88,2013,1
Leather Jacket Love Story,Cayla Pantecost,46,118.1,1971,2
South of the Border,Marvin Waggitt,32,237.42,1990,3
Limit (Limite),Barde Marfe,76,140.8,2012,5
Holy Rollers,Gard Coytes,42,212.44,1963,8
Knife in the Water (Nóz w wodzie),Analiese Paumier,104,160.07,2008,7
Wonder Bar,Leanna Winger,37,80.47,2014,3
"Simple Wish, A",Elie Traill,192,131.76,2005,4
Blood,Hildegaard Gorvette,29,107.1,2020,9
Snowball Express,Edi Gecks,33,150.35,1976,10
Valdez Is Coming,Berty Connah,116,57.73,1994,2
"Scarlet Letter, The (Der scharlachrote Buchstabe)",Enrique De Lascy,54,205.31,1982,5
Demetrius and the Gladiators,Kalina Mordacai,171,161.04,2016,9
24 Exposures,Brigitta Delmage,111,158.05,1969,1
Distant Thunder,Corabel Bandiera,90,82.08,1970,7
Johnny 100 Pesos (Johnny cien pesos),Caty Vockings,161,80.56,1988,7
Nola,Rafael Donaghie,25,95.87,1979,3
Werner - Gekotzt wird später,Ardra Hutley,126,245.29,1978,10
A-Haunting We Will Go,Austina McGee,199,51.44,1979,1
"Embalmer, The (Imbalsamatore, L')",Timofei Tratton,185,237.98,1968,8
The Lego Movie,Koenraad Szymanowski,115,99.5,1972,6
Dirty Love,Marve Tows,109,109.95,2019,2
Machete Kills (Machete 2),Mortimer Ludwell,109,94.97,1978,7
"Pretty Village, Pretty Flame (Lepa sela lepo gore)",Cymbre Filoniere,50,65.4,1990,5
Then I Sentenced Them All to Death (Atunci i-am condamnat pe toti la moarte),Christy Macieja,73,180.73,2020,8
Where the Boys Are '84,Mario Marrill,97,224.31,1960,5
Big Bad Mama,Lonee Ellis,157,67.91,1972,2
Year of the Dragon,Cristi Roads,157,74.62,1967,1
"Fog, The",Rik MacDonagh,172,46.24,2014,5
Terry Pratchett: Choosing to Die,Brier Jakov,139,188.09,1976,1
Malibu High,Gordon Tincombe,156,56.24,1979,9
Buck Privates,Coletta Fowls,192,241.86,1981,4
The Land Before Time VII: The Stone of Cold Fire,Niccolo Attreed,81,132.73,1962,10
Blood Beach,Jaquelyn Sommerton,112,126.77,1977,6
Rollerball,Randall Fiddymont,118,210.52,1962,4
Born to Defense (Zhong hua ying xiong),Idalia Dennehy,160,172.53,1972,1
Hara-Kiri: Death of a Samurai,Kerr Slym,108,41.08,1976,7
"Pleasure Party (Partie de plaisir, Une) (Piece of Pleasure, A)",Tabina Etchell,134,165.16,1999,6
Lord of Illusions,Sandie Rattray,136,246.56,1996,5
"King and the Clown, The (Wang-ui namja)",Isadora Deppen,169,182.0,1983,9
Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba),Nealon MacKnocker,131,147.57,2008,6
The Hunters,Gawen Weale,130,184.95,2003,7
247°F ,Lilith Robberts,128,201.6,1987,1
Undercover Man,Garik Furmage,186,200.36,1982,5
"Little Stiff, A",Melanie Capstack,113,89.25,1982,6
"Edge of Heaven, The (Auf der anderen Seite)",Barry Sams,53,106.35,2000,1
Ordinary Decent Criminal,Reamonn Philippault,162,134.24,1989,5
"Road to Hong Kong, The",Jasmina Halston,106,87.22,2018,7
"Thin Red Line, The",Giffer Robertelli,82,221.84,1969,2
Mugabe and the White African,Janina Portman,168,214.24,1975,1
Babylon 5,Curran Stoodley,35,38.91,1971,10
"Last of England, The",Angelle McHale,170,159.59,1963,7
Communion,Ealasaid Morehall,146,120.12,1972,2
"Pig's Tale, A",Janos Tapsell,30,173.79,2004,3
Sex Tape,Gerek Evitts,84,49.82,1965,2
Bloody Murder,Suzi Shepard,164,202.9,2010,6
Rocky,Jacobo Cawson,116,210.46,1995,4
Bill Maher: Victory Begins at Home,Ferrel Rawstorne,142,193.12,1990,7
Close Encounters of the Third Kind,Ethan Balaizot,94,201.52,2019,1
"Bohème, La",Eveleen Tuma,149,36.99,1992,8
Hell's Hinges,Katherine Dallison,177,100.34,1989,3
Hotel Hell Vacation,Myrilla Annis,121,68.72,1974,5
To.get.her,Mannie Camerati,197,167.54,1992,7
Company Business,Brittaney Maddy,101,122.52,2018,4
Heading South (Vers le sud),Marin Manvell,159,191.33,2009,10
There's No Business Like Show Business,Denyse Sange,170,197.83,1987,10
Dinner at Eight,Shae Sallarie,22,121.03,2002,4
Terminal Velocity,Loree Paolillo,169,30.17,1994,9
JFK,Gabie Trevaskus,73,54.78,1983,6
The Punisher: Dirty Laundry,Esme Ricciardi,35,92.18,2018,4
RFK Must Die: The Assassination of Bobby Kennedy,Daryl Hegg,95,52.61,2012,5
French Twist (Gazon maudit),Dierdre Grosier,63,40.31,1989,9
Reality,Cam Colebourne,76,66.29,1973,7
Belle comme la femme d'un autre,Kathryn Greenside,91,226.32,2003,6
Stonehenge Apocalypse,Bunni Lotterington,85,86.39,2000,4
Medea,Giff Junkison,106,193.55,2019,7
Here Without Me (Inja bedoone man),Sharyl Tydeman,111,115.9,2019,8
American Loser (Trainwreck: My Life as an Idiot),Almire Joselin,68,85.13,1991,7
"Man in Grey, The",Fran Columbell,169,52.97,1971,9
"Grey, The",Gaston Marty,107,105.41,1995,2
Blackbird,Reg Crewes,157,155.65,1987,3
Shrek 2,Alberta Kingsley,63,60.87,1985,9
Short Circuit 2,Edythe Kingscote,29,160.07,1985,6
Rumble Fish,Marshal Brade,121,30.64,1969,6
"Murder, My Sweet",Siffre Picott,188,42.16,1992,6
Summer Catch,Abelard Duval,46,55.1,2006,7
Blood on Satan's Claw (a.k.a. Satan's Skin),Doretta Gonnard,155,179.05,1978,8
Red Psalm (Még kér a nép),Taber Dossit,141,206.2,2009,2
Heartbreaker (L'Arnacoeur),Rhys McPolin,38,95.24,2018,2
Along the Sungari River (Song hua jiang shang),Isabelita Sine,185,79.09,2004,4
"Swan Princess, The",Maury Arundell,156,174.68,2000,6
Take Shelter,Eleanore Tettley,185,168.39,2002,10
From Hell,Lil Ree,179,232.8,1977,10
"Monitor, The (Babycall)",Julietta Duckerin,106,30.64,1979,6
My Chauffeur,Vere Dixsee,82,166.34,2020,2
Clifford's Really Big Movie,Diahann Farrey,53,195.03,2001,10
Cobra,Abe Bilbrey,102,136.4,1996,5
Above Suspicion,Georgetta Trett,95,135.03,1996,5
Mr Hublot,Abey Casero,33,95.58,1966,7
Wallace & Gromit: The Best of Aardman Animation,Sharia Mossdale,184,169.9,2015,1
Sleep Dealer,Bink Scneider,181,116.0,1980,1
Army of Shadows (L'armée des ombres),Carey Rannie,55,223.22,1966,5
So It Goes (Korsoteoria),Cully Houston,131,112.85,1976,10
Mom and Dad Save the World,Glyn Tarr,179,166.54,1971,2
Ankur (The Seedling),Leland Ruddock,103,184.48,1982,3
Alexander the Great,Savina Dorbin,178,34.27,1987,2
Two Deaths,Karoline Conen,125,52.83,2012,4
Brother,Linnet Schild,128,168.53,1967,9
Who Killed the Electric Car?,Trent Charlson,24,187.38,2014,8
"Town That Dreaded Sundown, The",Brittne Fergusson,52,246.41,1989,5
You Killed Me First,Melonie Grinstead,134,206.56,1999,3
One Point O,Sheff Goulding,170,195.19,1961,4
Dancing at the Blue Iguana,Sadie L'oiseau,98,234.13,2012,1
Lone Wolf and Cub: Baby Cart in Peril (Kozure Ôkami: Oya no kokoro ko no kokoro),Darin Deeprose,69,112.68,2012,5
7 Days (Les 7 jours du talion),Marve Sarch,144,31.01,1980,1
Requiem,Jillane Peiser,122,106.2,1975,3
Skyfall,Ivy Stidson,118,231.59,2004,8
Higher and Higher,Robyn Brewer,194,208.82,2006,5
Torment (Hets),Merline Gardiner,38,52.24,1985,7
Scanners,Reine Ivain,156,124.18,2019,7
Quo Vadis,Mendie Wilford,53,116.04,1993,6
"Expert, The",Vassily Cassells,64,101.45,1977,5
Happy Here and Now,Chickie Wimbury,180,30.7,1973,6
All at Sea,Prentice Kiwitz,152,125.8,1998,3
City by the Sea,Lu Janusik,34,56.91,1989,4
Negative Happy Chainsaw Edge (Negatibu happî chênsô ejji),Faye Learmont,42,156.1,2016,6
Before Night Falls,Noel Deeley,153,76.01,1963,7
Good Morning (Ohayô),Danny Shimman,183,143.48,2013,2
"Sheriff and the Satellite Kid, The",Daphne Swindell,154,83.55,1993,7
Restless Natives,Archambault Life,175,57.89,1970,5
Una Noche,Cathee Waddell,107,208.05,2014,10
Chimpanzee,Welsh Chataignier,57,231.89,1984,7
"Reuben, Reuben",Hinze Polk,103,177.84,1970,10
Division III: Football's Finest,Nerta Lupton,107,187.12,1967,4
War and Peace (Jang Aur Aman),Max Bortolussi,23,170.37,1983,7
Hamburger Hill,Robin Baldery,107,91.19,2002,7
Manufacturing Dissent,Yankee Marsden,105,172.99,1999,10
"Hello, Dolly!",Delora Tegler,48,199.4,2018,9
Payback,Kylie Vardey,106,240.65,1982,9
I'm Here,Marlo Wilmington,148,213.36,1973,6
SIS,Cross Dudderidge,178,234.15,1989,7
Boy Meets Girl,Karalynn Faloon,37,50.56,1995,6
How to Be,Adelina Ronnay,36,194.45,1997,1
"World Apart, A",Waite Razzell,175,239.06,1983,5
Fighter in the Wind,Nickie Pressdee,74,162.49,1996,7
"Devil's Rain, The",Jaimie Thackeray,98,97.14,2004,2
Too Shy to Try (Je suis timide... mais je me soigne),Scotty Johns,196,90.51,1993,10
"Freshman, The",Raffaello Littledyke,179,179.14,2008,8
Nils Karlsson Pyssling,Joann Byrcher,72,241.8,2010,3
Freezer,Hedvige Mussetti,144,105.31,2014,1
"Hundred-Foot Journey, The",Ola Ortet,182,136.64,1989,6
Cabin Fever 2: Spring Fever,Morgana Shackleford,161,124.72,1994,9
Rescue Dawn,Valeria Pragnell,20,91.18,1966,5
Life Stinks,Rachele Mingus,131,48.14,1989,1
Take Out,Orland Oliffe,59,95.88,2010,6
Aziz Ansari: Dangerously Delicious,Rockwell Lesly,184,205.09,2000,4
Madonna: Truth or Dare,Janka Gorgen,142,205.98,2014,1
"Bad Boy (Story of Danny Lester, The)",Ericka Farnan,106,81.45,1994,3
Satan's Sword (Daibosatsu tôge),Justinian Dyka,138,39.34,2000,10
Blow Dry (a.k.a. Never Better),Dimitri Allsworth,162,191.57,1969,3
Trapped,Louisette Fluin,49,190.39,1963,4
Babes in Arms,Carlita Mein,136,119.01,2004,1
"Kids Are All Right, The",Aggie Prevost,144,105.28,1990,3
Shackleton's Antarctic Adventure,Fernandina Howler,108,131.01,1979,9
Let's Not Get Angry (Ne nous fâchons pas),Manuel Rout,110,209.41,2015,7
Wheels on Meals (Kuai can che),Adaline Mudd,53,159.35,2020,10
Km. 0 - Kilometer Zero (Kilómetro cero),Douglass Burnside,29,115.42,2013,6
"Agony and the Ecstasy, The",Farlie Persence,67,206.64,1960,3
Hilary and Jackie,Katalin Yushkov,71,138.78,1995,1
Centurion,Christian Sustins,144,202.56,1965,6
Away with Words (San tiao ren),Maressa Jowle,120,68.47,1997,10
Paradise Road,Jean Surgenor,179,199.96,1964,9
Born Rich,Sutherlan Pooly,173,225.4,2011,10
Victim,Moreen Bardsley,82,126.64,1997,9
Smokey and the Bandit III,Goldy Matuszyk,115,209.05,1976,9
Mad Money,Shaw Musker,26,197.53,2016,1
Stepfather II,Eleni MacLice,93,88.38,1966,2
God Is Brazilian (Deus É Brasileiro),Gwendolin Aronow,173,117.9,2010,5
"Starfighters, The",Pavla Kubal,26,222.08,1986,10
Million Dollar Arm,Jarvis Zorer,150,86.7,2013,2
Sokkotanssi,Hildagard Gammon,165,210.31,1962,9
Hecho en México,Paddie Bowser,34,223.8,2006,6
Crooks in Clover (a.k.a. Monsieur Gangster) (Les tontons flingueurs),Karlis Subhan,130,113.9,1966,10
The Blue Room,Hedda Pilley,83,194.25,2014,5
Asphalt,Justino Hillen,181,96.66,1971,1
Sandra of a Thousand Delights (Vaghe stelle dell'Orsa...),Missie Mincher,39,247.04,1962,10
Operation Dumbo Drop,Elissa Reinard,163,41.42,1962,6
Summer Palace (Yihe yuan),Donelle McCord,35,183.87,1967,10
Dodgeball: A True Underdog Story,Berny Ruseworth,156,146.45,2014,4
Bluebeard (Landru),Dell Karran,64,230.68,1990,10
Things Change,Doroteya Tooby,27,33.78,1979,3
National Theatre Live: Frankenstein,Gilberta Clines,108,186.33,1982,1
All These Women (För att inte tala om alla dessa kvinnor),Saraann Sholem,108,105.28,2017,9
Cheaper by the Dozen,Evy McGookin,29,214.44,2013,6
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The",Parrnell Burrage,144,139.94,1960,6
Daisies (Sedmikrasky),Flossy Piccard,130,115.99,1977,6
You Are God (Jestes Bogiem),Mordecai Britton,148,59.78,2020,3
Night on Earth,Cherey Redihough,39,108.8,2004,5
"Prince & Me, The",Felipe Helks,32,77.56,1996,1
Restrepo,Ermentrude Szwandt,200,144.88,1977,8
Buddies (Colegas),Anthony Sheridan,92,33.17,1971,2
"Convent, The (O Convento)",Guglielma Frigot,81,171.81,1966,4
The Mask You Live In,Dorise Pinsent,147,149.92,1989,4
Doom,Rubia Soutar,178,238.97,1966,3
"Muse, The",Christalle Mashro,88,218.53,1975,6
Wolf Creek,Ruth Hatley,33,79.66,2007,8
Thumbelina,Bevon Worstall,42,34.96,2018,10
Babylon 5: The Lost Tales - Voices in the Dark,Madalena Bortolozzi,163,35.63,1991,7
"Ninth Configuration, The (a.k.a. Twinkle, Twinkle, Killer Kane)",Bee Deery,167,82.86,2007,5
Hotel Pacific (Zaklete rewiry),Maddie Dict,40,68.95,1984,10
Descendant of the Sun (Ri jie),Beltran Joseland,22,69.0,1993,6
Something to Sing About,Aeriel Henriet,132,93.69,1977,6
"Age of the Medici, The (L'età di Cosimo de Medici) ",Matty Gitthouse,97,191.54,1965,2
"Education of Little Tree, The",Theadora Fetterplace,23,145.66,1991,4
Wait Until Dark,Mavra D'Oyley,193,148.0,1969,4
Gunfighter's Moon,Edgardo Mallender,133,193.39,1988,10
"Saratov Approach, The",Jaine Lodge,117,98.28,1981,2
Ca$h,Gaylord Bovingdon,34,248.28,1992,9
Deal of the Century,Corene Mansuer,39,197.43,1989,5
Gurren Lagann: The Lights in the Sky are Stars (Gekijô ban Tengen toppa guren ragan: Ragan hen),Rosabel Govinlock,154,201.84,1980,1
Resident Evil,Emera Morfield,129,201.94,1993,9
Restraint,Lisette Rainforth,141,30.55,1971,5
City Girl,Artemas Hambrick,100,133.2,1973,7
Arn: The Kingdom at Road's End (Arn: Riket vid vägens slut),Floria Vamplew,32,113.66,1971,7
Clay Pigeons,Carolan Bayman,48,191.62,1962,9
Cosi,Gregor Yushankin,195,180.38,2016,7
Alien Nation: Body and Soul,Caryl Elphee,161,67.87,2001,9
"Spook Who Sat by the Door, The",Florina Leacy,91,245.56,2020,5
Tarzan's New York Adventure,Kristine MacLennan,42,190.06,1979,8
"Curse of Frankenstein, The",Arvy Grunguer,195,139.01,1991,8
"Letter From Death Row, A",Roda Richardet,60,151.64,1963,3
Painted Lady,Edouard Courvert,38,236.98,2014,3
Asterix and the Big Fight (Astérix et le coup du menhir),Sybilla Saward,62,79.17,1997,7
"Sticky Fingers of Time, The",Kennett Blyth,55,183.05,2020,3
So Dear to My Heart,Darrell Tuminini,83,122.15,1976,5
"Purple Gang, The",Suzette Goodfellowe,44,118.92,1991,9
Chain Lightning,Charlie Shouler,181,216.83,1999,10
"Promise, The (La promesse)",Torrence Dummigan,199,76.95,2019,7
My Neighbors the Yamadas (Hôhokekyo tonari no Yamada-kun),Cass Petican,192,154.52,1993,4
"Triplets of Belleville, The (Les triplettes de Belleville)",Deeyn Laxon,96,200.01,1998,4
Holiday Inn,Carleen Bogeys,62,35.39,2018,6
Predator 2,Guinevere Rampley,56,130.37,1964,7
Gabriel Over the White House,Hazel Scullin,119,61.8,1988,5
True Heart,Gerek MacDougall,78,34.19,2016,2
"Amazing Transparent Man, The",Artur Gauvain,101,154.7,1996,8
"Brothers O'Toole, The",Pia Parsall,67,122.1,1981,5
Rumble in the Bronx (Hont faan kui),Kirsti Episcopio,96,202.12,1988,7
Maid of Salem,Clem Conti,111,154.74,1962,10
Tracks,Paton Bohan,157,65.1,1970,1
Light Sleeper,Reggie Sutherley,165,138.99,1979,1
Cheech & Chong's Nice Dreams,Kristofer Sleightholme,191,31.64,1994,9
Dragon Fist (Long quan),Robin Kowal,181,134.81,1993,2
The Fifth Season,Abbott Renak,152,90.32,1975,5
90 Minutes (90 minutter),Augustine Penhallurick,36,238.93,1989,8
Trash,Emmett Sowte,54,198.78,1960,4
Is Anybody There?,Dar Insoll,181,168.23,1965,10
Basket Case 3: The Progeny,Nolly McGee,109,202.3,1991,8
A Cry in the Wild,Giraud Haydon,169,64.45,1974,8
"Silent Partner, The",Javier Guile,178,37.84,1986,5
The Floating Castle,Addie MacAskill,88,158.03,2000,5
Ernest Saves Christmas,Astrix Obern,99,242.74,2008,10
"Little Shop of Horrors, The",Brook Olin,73,137.11,2000,4
Paradox,Alon Cleverly,199,208.55,1985,9
120,Davy Hannah,116,123.05,2008,3
"Garden of Eden, The",Tadio Ogley,200,217.12,1977,10
Murder Ahoy,Thibaud Tulk,110,85.7,2001,1
How the West Was Won,Titos Coulson,41,185.75,1973,2
Panic in the Streets,Blaine Stenet,74,134.07,1981,4
"Yor, the Hunter from the Future",Augie Berthomier,146,234.67,1974,5
One-Way Ticket to Mombasa (Menolippu Mombasaan),Tyrus Tremethack,62,125.27,1968,5
Coach Carter,Angelo Minot,89,186.03,1967,10
Tidal Wave,Fanechka Fennelow,21,139.65,2016,7
Sangre de mi sangre (Padre Nuestro),Judith Mara,112,155.5,1987,10
Edward Scissorhands,Alanah Vondruska,185,191.49,1966,1
Blue Sky,Chelsie Greensitt,108,65.97,1999,10
Midnight Dancers (Sibak),Margret Stoacley,196,226.75,1983,6
"Express, The",Shanna Elgar,139,245.93,1984,4
Stars and Bars,Hew Hubberstey,151,105.83,1963,4
"Skeleton Key, The",Agnese Sawforde,93,178.82,1982,10
Sophia de Mello Breyner Andresen,Margie Children,161,214.99,2000,3
Things We Do For Love (Kaikella rakkaudella),Cherilyn Ambrogi,138,206.19,1994,3
"Nine Lives of Fritz the Cat, The",Enos Faldoe,65,91.44,1994,2
Lines: Horizontal,Alden Babalola,138,52.16,1988,4
Rapid Fire,Audre Kahler,120,194.98,1992,1
Clueless,Hermina Velez,95,177.46,1970,10
Tarzan's Greatest Adventure,Benyamin Tanser,141,212.85,1999,4
"Family Tree, The",Rochester Betancourt,78,106.54,1977,7
Soapdish,Alana Tumbelty,118,166.44,2011,5
"Legend of Lizzie Borden, The",Yvon Beinisch,181,202.39,1964,10
There Goes My Heart,Layney Pardey,38,133.39,1974,10
Manufactured Landscapes,Ranique Fonteyne,36,58.29,1969,7
Maybe Baby,Brianna Strathman,133,129.44,1982,7
Molly Maxwell,Marmaduke Studders,47,133.21,1995,10
Eaten Alive,Sondra Heindl,132,83.78,1985,7
"Convent, The (O Convento)",Jayme Georgel,93,201.05,1972,10
Entity,Rhett Spleving,48,185.06,2013,2
Peter and Vandy,Gabbey Daout,51,70.33,2007,1
2001: A Space Odyssey,Nicolais Tommasetti,142,230.02,1963,5
Bus 174 (Ônibus 174),Janela Moye,129,83.67,1982,9
"Greatest, The",Sidnee Pendleberry,26,242.22,1979,2
Junior,Harri Finby,193,168.86,1993,4
How Stella Got Her Groove Back,Clayton Gillitt,155,245.23,1960,1
"Last of the Unjust, The (Dernier des injustes, Le)",Lucky Attyeo,140,246.31,1976,10
"Idle Class, The",Dee Ferrara,101,149.29,1979,10
Mansfield Park,Chase Wassell,42,71.24,2001,10
Police Python 357,Clarinda Popov,96,235.06,2008,2
"Men Who Tread on the Tiger's Tail, The (Tora no o wo fumu otokotachi)",Heinrick Tissington,42,155.54,1996,1
Diary of a Lost Girl (Tagebuch einer Verlorenen),Lily Fulk,47,122.71,1971,1
Time Without Pity,Joey Seale,117,171.97,1984,9
A Chinese in a Coma,Kelcie Yoakley,146,136.91,2016,7
Black & White & Sex,Martina Malim,76,210.83,2004,3
Who's Singin' Over There? (a.k.a. Who Sings Over There) (Ko to tamo peva),Bordie Shilito,166,185.13,2002,10
Looking for Comedy in the Muslim World,Rachelle Hinrichsen,136,49.5,1983,6
"One and Only, The",Bevon Kingh,144,113.42,1989,3
Kika,Aldric Wilcocke,57,231.19,1986,1
Faces of Death 5,Jammie Keyden,167,205.49,2002,10
Tali-Ihantala 1944,Therese Kopmann,108,59.79,2014,10
Abbott and Costello Go to Mars,Roxanna Jans,154,120.17,1971,9
"Private Eyes, The",Harbert Udale,194,110.25,2011,4
Sarafina!,Dorisa Zappel,98,159.96,1967,5
Killing Auntie (Zabicie ciotki),Selia Alabastar,176,126.04,2003,1
"Too Early, Too Late (Trop tôt, trop tard)",Emmanuel Berge,145,150.06,1973,5
The Vexxer,Ashby Abramovici,50,38.25,1995,1
"Good Time Girls, The (Bonnes femmes, Les)",Randene Minter,190,181.76,1964,9
Murders in the Zoo,Winn Farncombe,52,101.18,2007,1
Dil Se,Raynard Tilbey,171,157.49,1962,3
Richard III,Melantha Taill,68,195.64,2006,10
"Man I Love, The",Pete Coakley,171,50.85,1982,3
Star Wars: Episode V - The Empire Strikes Back,Mayne Cropp,196,64.56,1973,8
"Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup)",Marjy Lightbody,115,123.75,1980,8
Mean Machine,Trefor Butland,56,150.76,2000,9
The Other Side of the Mountain,Sonni Sabate,76,119.7,1960,2
Man on the Moon,Welby Bramer,60,79.37,1968,5
13B,Herta Ilyukhov,115,65.58,1990,7
Time of the Gypsies (Dom za vesanje),Howie Jerrim,188,86.2,1980,8
Prowl,Liliane Oliva,29,79.21,1970,10
Enemy at the Gates,Nessy Lusher,195,44.38,1987,10
Twin Peaks: Fire Walk with Me,Geordie Korba,179,67.61,1988,6
Bajo la Sal (Under the Salt),Nicolais Sighard,199,182.4,1979,1
Over Her Dead Body,Obediah Hawksby,52,91.45,1990,7
Model,Lynde Janus,200,172.64,1962,3
Beau Brummell: This Charming Man,Maryrose Spyvye,145,179.54,2006,10
Power Play,Paloma Eykelhof,118,217.56,1972,1
Revenge of the Nerds III: The Next Generation,Johnnie Carnegy,182,182.7,1971,4
"Drive, He Said",Frances Plumbridge,111,171.27,1996,2
Battle in Seattle,Lauritz Stonebanks,184,81.59,2018,9
Ice Soldiers,Mandel Vanderplas,74,101.48,2004,7
Viva Zapata!,Brand Sibbs,176,216.11,2011,4
Challenge of the Masters (Liu A-Cai yu Huang Fei-Hong),Eleonora De Clairmont,134,76.9,1974,1
Désiré,Stafford Seathwright,75,111.54,1964,6
"Boys & Girl from County Clare, The (a.k.a. The Boys from County Clare)",Carlene Kulas,47,166.78,2003,9
Tenderness,Maren Blum,41,132.61,1974,1
Treasure Island,Noble Mignot,170,142.98,2000,7
Accidents Happen,Richart Wanklyn,116,166.03,1991,9
Among Giants,Keary Bytheway,160,45.72,1994,6
Angele,Tremain Boxen,117,97.79,1965,7
Surviving the Game,Jerrold Barrott,176,134.69,1984,8
9 Souls (Nain souruzu),Sidnee Robson,125,37.43,2000,5
"Hurricane, The",Barrett Carous,39,130.53,1967,2
We Were Here,Yule Igounet,163,47.8,1986,10
"Buy the Ticket, Take the Ride: Hunter S. Thompson on Film",Aeriela Hollingsby,51,132.59,1987,6
Eastwood on Eastwood,Huntington Sapsford,145,96.94,1988,3
"Baby of Mâcon, The (a.k.a. The Baby of Macon)",Sully Aitken,191,187.3,2008,6
Inglourious Basterds,Lilyan Tewkesbury.,99,114.51,1975,7
"Three Burials of Melquiades Estrada, The",Ade Chivrall,72,82.89,2019,2
Cry_Wolf (a.k.a. Cry Wolf),Alejandro Andreolli,108,108.15,1990,3
Faces of Schlock,Ham Zellick,66,84.96,1999,3
Cousin cousine,Haily Torvey,102,78.48,2003,2
